taxon	min_age	max_age
Ailuropoda_melanoleuca	0.0	0.0
Helarctos_malayanus	0.0	0.0
Melursus_ursinus	0.0	0.0
Tremarctos_ornatus	0.0	0.0
Ursus_americanus	0.0	0.0
Ursus_arctos	0.0	0.0
Ursus_maritimus	0.0	0.0
Ursus_thibetanus	0.0	0.0
Agriarctos_spp	6.3	6.3
Ailurarctos_lufengensis	7.0	7.0
Ballusia_elmensis	18.3	18.3
Indarctos_arctoides	7.3	7.3
Indarctos_punjabiensis	7.3	7.3
Indarctos_vireti	8.2	8.2
Kretzoiarctos_beatrix	11.5	11.5
Ursavus_brevirhinus	16.4	16.4
Ursavus_primaevus	14.8	14.8
Zaragocyon_daamsi	21.4	21.4
